X,Y,Temperature
0.18,0.02,339.732
0.19,0.02,339.728
0.19,0.03,339.728
0.18,0.03,339.73
0.18,0.01,339.731
0.19,0.01,339.727
0.18,0,339.728
0.19,0,339.726
0.17,0.03,339.734
0.17,0.02,339.735
0.17,0.01,339.734
0.17,0,339.732
0.16,0.03,339.736
0.16,0.02,339.737
0.16,0.01,339.737
0.16,0,339.736
0.15,0.03,339.736
0.15,0.02,339.739
0.15,0.01,339.741
0.15,0,339.741
0.14,0.03,339.737
0.14,0.02,339.742
0.14,0.01,339.745
0.14,0,339.745
0.13,0.03,339.747
0.13,0.02,339.75
0.13,0.01,339.75
0.13,0,339.749
0.12,0.03,339.754
0.12,0.02,339.756
0.12,0.01,339.754
0.12,0,339.753
0.11,0.03,339.756
0.11,0.02,339.757
0.11,0.01,339.757
0.11,0,339.756
0.1,0.03,339.758
0.1,0.02,339.759
0.1,0.01,339.759
0.1,0,339.758
0.09,0.03,339.758
0.09,0.02,339.759
0.09,0.01,339.759
0.09,0,339.757
0.08,0.03,339.756
0.08,0.02,339.757
0.08,0.01,339.756
0.08,0,339.755
0.07,0.03,339.751
0.07,0.02,339.753
0.07,0.01,339.753
0.07,0,339.753
0.06,0.03,339.745
0.06,0.02,339.748
0.06,0.01,339.75
0.06,0,339.749
0.05,0.03,339.739
0.05,0.02,339.744
0.05,0.01,339.745
0.05,0,339.744
0.04,0.03,339.738
0.04,0.02,339.74
0.04,0.01,339.741
0.04,0,339.741
0.03,0.03,339.737
0.03,0.02,339.738
0.03,0.01,339.739
0.03,0,339.738
0.02,0.03,339.734
0.02,0.02,339.735
0.02,0.01,339.735
0.02,0,339.733
0.01,0.03,339.731
0.01,0.02,339.731
0.01,0.01,339.73
0.01,0,339.729
1.00E-15,0.03,339.728
5.00E-16,0.02,339.728
2.50E-16,0.01,339.727
0,0,339.727
0.049,0.05,339.547
0.049,0.06,339.53
0.046,0.06,339.529
0.046,0.05,339.546
0.049,0.04,339.59
0.046,0.04,339.59
0.046,0.03,339.739
0.049,0.03,339.739
0.144,0.05,339.548
0.144,0.06,339.531
0.141,0.06,339.53
0.141,0.05,339.547
0.144,0.04,339.591
0.141,0.04,339.591
0.141,0.03,339.737
0.144,0.03,339.737
0.036816,-0.0297176,300
0.0312466,-0.0280578,300
0.0326835,-0.0348691,300
0.0405956,-0.0328011,300
0.0418662,-0.0266022,300
0.0417344,-0.0216615,300.034
0.0371775,-0.0245609,300.034
0.0446193,-0.0304035,300
0.052044,-0.0250899,300.001
0.141,0.04,339.58
0.135573,0.0358717,312.374
0.135065,0.0420389,306.76
0.132893,0.0377796,307.768
0.141,0.03,339.681
0.130778,0.03,339.718
0.231729,-0.0799025,300
0.228113,-0.0818143,300
0.231833,-0.0822021,300
0.232644,-0.0814452,300
0.233197,-0.0826504,300
0.22722,-0.0871292,300
0.222487,-0.0844132,300
0.225235,-0.09,300
0.229468,-0.09,300
-0.0162489,-0.0809321,300
-0.0194062,-0.0843016,300
-0.0164766,-0.0875081,300
-0.0126535,-0.0878387,300
-0.0218954,-0.0807937,300
-0.0264005,-0.0865807,300
-0.0215831,-0.0867979,300
-0.0248192,-0.09,300
-0.115599,0.0509134,300
-0.129593,0.0571891,300
-0.131027,0.0556871,300
-0.125623,0.0466354,300
-0.118432,0.0597179,300
-0.130401,0.058799,300
