x,y,z,Temperature,BT
0.0539998,0.223,0,299.99999999999994,340
0.406999,0.262,0,300.00000000000006,340
0.341,0.048,0,300.3977678004079,340
0.143997,0.0369989,0,300.0,340
0.505007,0.111,0,299.99999999999994,340
0.223,0.241,0,300.0,340
0.0629997,0.0769947,0,299.99999999999994,340
0.491003,0.232,0,300.0,340
0.257,0.14,0,315.4309881991484,340
0.404,0.139,0,300.0,340
0.145,0.162,0,299.99999999999994,340
0.522002,0.0529999,0,300.0,340
0.351992,0.235,0,300.0,340
0.263,0.046,0,300.32362548562304,340
0.145999,0.248,0,299.99999999999994,340
0.448,0.022,0,299.99999999999994,340
0.548,0.209,0,299.99999999999994,340
0.312,0.164,0,300.6189905097074,340
0.0410013,0.260003,0,300.0,340
0.035,0.008,0,300.0,340
0.032,0.169,0,300.00000000000006,340
0.326,0.293,0,300.0,340
0.451,0.077,0,299.9999999999999,340
0.463,0.161,0,300.0,340
0.212,0.05,0,300.2636720974805,340
0.155,0.101,0,300.00000000000006,340
0.337,0.101,0,324.4521482779681,340
0.275999,0.208,0,303.4553683229372,340
0.564,0.26,0,300.0,340
0.407994,0.219,0,300.0,340
0.018,0.108,0,299.99999999999994,340
0.2,0.186998,0,300.0,340
0.552,0.131999,0,299.99999999999994,340
0.27,0.279,0,300.73343654648806,340
0.376,0.056,0,302.5534128259035,340
0.087,0.145,0,300.0,340
0.435,0.289,0,300.0,340
0.52,0.021,0,300.00000000000006,340
0.189,0.125,0,300.00000000000006,340
0.194,0.283,0,300.00000000000006,340
0.066,0.292,0,300.0,340
0.110997,0.200001,0,300.0,340
0.511003,0.268,0,300.00000000000006,340
0.514,0.190998,0,300.00000000000006,340
0.081,0.023,0,300.0,340
0.368,0.189,0,300.0,340
0.392,0.024,0,300.0,340
0.223,0.01,0,300.0,340
0.008,0.058,0,300.00000000000006,340
0.273,0.095,0,332.39541977772245,340
0.305,0.02,0,299.99999999999994,340
0.453994,0.220004,0,300.00000000000006,340
0.008,0.215,0,300.0,340
0.122,0.0679966,0,299.99999999999994,340
0.310996,0.254,0,300.00902279140485,340
0.423,0.095,0,300.0,340
0.107998,0.231002,0,300.0,340
0.172,0.034,0,300.0,340
0.548,0.087,0,300.0,340
0.384,0.28,0,300.0,340
0.1,0.105,0,300.0,340
0.553003,0.0339999,0,300.00000000000006,340
0.149,0.298,0,300.0,340
0.387,0.12,0,300.0,340
0.323,0.139,0,305.25871427638975,340
0.245,0.087,0,339.9881280422764,340
0.479002,0.13,0,300.0,340
0.108012,0.266001,0,300.0,340
0.175,0.198042,0,300.0,340
0.229,0.134992,0,300.71045010745195,340
0.476003,0.0639999,0,300.0,340
0.239,0.171,0,300.0053532011225,340
0.123998,0.0209989,0,299.99999999999994,340
0.281,0.066,0,339.999,340
0.473999,0.274,0,300.00000000000006,340
0.002,0.273,0,300.00000000000006,340
0.449,0.131,0,300.00000000000006,340
0.522,0.134,0,300.0,340
0.322997,0.217,0,300.0,340
0.430998,0.173001,0,299.99999999999994,340
0.181998,0.241,0,300.00000000000006,340
0.479012,0.0129993,0,300.0,340
0.362,0.164,0,299.99999999999994,340
0.539,0.167999,0,299.99999999999994,340
0.008,0.16,0,300.0,340
0.547,0.286,0,300.0,340
0.353,0.009,0,300.00000000000006,340
0.176,0.077,0,300.0024732703709,340
0.264,0.236,0,300.0701687077523,340
0.0459999,0.112004,0,299.99999999999994,340
0.404,0.073,0,300.0,340
0.311,0.086,0,339.993,340
0.0709995,0.202998,0,300.0,340
0.181,0.16,0,300.0,340
0.037,0.058,0,300.0,340
0.351,0.268,0,299.9999999999999,340
0.3,0.117,0,330.77800306601404,340
0.112,0.163,0,300.0,340
0.133009,0.190001,0,300.0,340
0.203,0.092,0,335.2871334665243,340
0.442992,0.261,0,299.99999999999994,340
0.247,0.298,0,300.00000000000006,340
0.13,0.105,0,300.00000000000006,340
0.0830063,0.245,0,299.99999999999994,340
0.274,0.02,0,300.0,340
0.282,0.165,0,319.32462013116645,340
0.531,0.246,0,300.00000000000006,340
0.464,0.191997,0,299.99999999999994,340
0.145,0.132998,0,299.99999999999994,340
0.236998,0.211,0,300.00000000000006,340
0.187,0.006,0,300.00000000000006,340
0.0859976,0.0619999,0,300.0,340
0.306,0.28,0,300.0759554579224,340
0.429,0.047,0,300.0,340
0.311,0.043,0,300.04963237865906,340
0.364,0.113,0,306.03229286416473,340
0.5,0.166,0,299.99999999999994,340
0.342,0.186,0,300.00000000000006,340
0.241,0.266,0,299.99999999999994,340
0.163,0.011,0,300.0,340
0.368,0.094,0,331.3534896890472,340
0.059,0.136,0,300.0,340
0.108011,0.291,0,299.99999999999994,340
0.178009,0.267,0,300.0,340
0.0799985,0.188979,0,299.99999999999994,340
0.405,0.172,0,300.0,340
0.223,0.109,0,318.5048598820812,340
0.006,0.03,0,300.0,340
0.489002,0.221,0,300.00000000000006,340
0.026,0.288,0,299.99999999999994,340
0.499002,0.0779999,0,300.00000000000006,340
0.477019,0.0890234,0,300.0,340
0.215,0.278,0,300.0,340
0.477,0.04,0,300.00000000000006,340
0.383998,0.245,0,300.0,340
0.156996,0.214,0,299.99999999999994,340
0.562,0.008,0,300.0,340
0.555,0.178,0,300.0,340
0.195,0.219,0,300.0,340
0.382999,0.219,0,300.00000000000006,340
0.372,0.152,0,300.00000000000006,340
0.073,0.109,0,300.0,340
0.550003,0.0559999,0,300.0,340
0.144,0.0739964,0,300.0,340
0.238,0.029,0,300.00000000000006,340
0.0159998,0.24,0,300.0,340
0.039,0.04,0,300.00000000000006,340
0.041,0.19,0,300.00000000000006,340
0.0739999,0.164,0,300.0,340
0.300999,0.22,0,300.38426058547196,340
0.031,0.137,0,300.0,340
0.525,0.213994,0,300.0,340
0.279,0.254,0,308.18837363281875,340
0.424994,0.234,0,300.0,340
0.265,0.117,0,330.8142281175144,340
0.501,0.297,0,300.0,340
0.011,0.077,0,300.0,340
0.0640011,0.263,0,299.99999999999994,340
0.353997,0.212,0,300.0,340
0.356,0.298,0,300.0,340
0.417,0.125,0,300.0,340
0.321,0.074,0,339.9945803811033,340
0.096,0.018,0,300.0,340
0.429,0.009,0,300.0,340
0.416994,0.191,0,300.00000000000006,340
0.129,0.275,0,300.00000000000006,340
0.471,0.246,0,300.00000000000006,340
0.302,0.148,0,309.64969809786476,340
0.466007,0.114001,0,300.0,340
0.464,0.293,0,300.0,340
0.555,0.239,0,300.00000000000006,340
0.0349983,0.227,0,300.00000000000006,340
0.198,0.035,0,300.0,340
0.0679954,0.0489998,0,299.99999999999994,340
0.161,0.058,0,299.99999999999994,340
0.394,0.008,0,300.00000000000006,340
0.31,0.194,0,300.081372738599,340
0.21,0.165999,0,300.0,340
0.117993,0.140007,0,299.99999999999994,340
0.337,0.023,0,300.0,340
0.551,0.113,0,300.0,340
0.237,0.06,0,339.9994,340
0.019,0.198,0,300.0,340
0.347,0.136,0,300.1807461971861,340
0.227,0.2,0,299.99999999999994,340
0.513003,0.0399998,0,300.0,340
0.369,0.029,0,300.0,340
0.332,0.118,0,332.04077219408276,340
0.106,0.0439999,0,299.99999999999994,340
0.076,0.012,0,300.0,340
0.248,0.179,0,300.0162969430723,340
0.497,0.005,0,300.0,340
0.173,0.145,0,299.99999999999994,340
0.388,0.095,0,300.1764707589483,340
0.399,0.051,0,300.00000000000006,340
0.417998,0.281,0,299.99999999999994,340
0.526,0.113,0,300.00000000000006,340
0.201,0.06,0,339.9994,340
0.446,0.042,0,300.00000000000006,340
0.421,0.152,0,300.0,340
0.242995,0.246,0,300.0,340
