x,y,Temperature
0.0539998,0.223,300.88
0.406999,0.262,300.0
0.341,0.048,300.000000000001
0.143997,0.0369989,339.9754481709203
0.505007,0.111,300.0
0.223,0.241,300.0
0.0629997,0.0769947,309.66401700000137
0.491003,0.232,300.0
0.257,0.14,299.9999999956034
0.404,0.139,300.0
0.145,0.162,300.04280148470605
0.522002,0.0529999,300.0
0.351992,0.235,300.0
0.263,0.046,299.99999951119185
0.145999,0.248,300.033
0.448,0.022,300.0
0.548,0.209,300.0
0.312,0.164,300.0
0.0410013,0.260003,300.088
0.035,0.008,342.91095939637086
0.032,0.169,300.0009133890749
0.326,0.293,300.0
0.451,0.077,300.0
0.463,0.161,300.0
0.212,0.05,300.0427421972718
0.155,0.101,300.2016350468201
0.337,0.101,300.00000000000006
0.275999,0.208,300.0
0.564,0.26,300.0
0.407994,0.219,300.0
0.018,0.108,300.00933190470244
0.2,0.186998,300.00000014756415
0.552,0.131999,300.0
0.27,0.279,300.0
0.376,0.056,300.0
0.087,0.145,311.1701717063631
0.435,0.289,300.0
0.52,0.021,300.0
0.189,0.125,300.0002506570463
0.194,0.283,300.0
0.066,0.292,303.742
0.110997,0.200001,309.75517522795883
0.511003,0.268,300.0
0.514,0.190998,300.0
0.081,0.023,341.6929227223644
0.368,0.189,299.99999999999994
0.392,0.024,300.0
0.223,0.01,300.0153743958223
0.008,0.058,301.1316484974041
0.273,0.095,299.99999999054813
0.305,0.02,300.00000000015797
0.453994,0.220004,300.0
0.008,0.215,300.0
0.122,0.0679966,316.74344307741467
0.310996,0.254,300.0
0.423,0.095,300.0
0.107998,0.231002,311.535
0.172,0.034,327.86795773529207
0.548,0.087,300.0
0.384,0.28,300.0
0.1,0.105,312.81774064696623
0.553003,0.0339999,300.0
0.149,0.298,300.033
0.387,0.12,300.0
0.323,0.139,300.00000000000017
0.245,0.087,300.00000143035675
0.479002,0.13,300.0
0.108012,0.266001,311.535
0.175,0.198042,299.99994232852737
0.229,0.134992,299.9999979407569
0.476003,0.0639999,300.0
0.239,0.171,300.00000000325053
0.123998,0.0209989,340.3245797002322
0.281,0.066,299.99999998546724
0.473999,0.274,300.0
0.002,0.273,300.0
0.449,0.131,300.0
0.522,0.134,300.0
0.322997,0.217,300.0
0.430998,0.173001,300.0
0.181998,0.241,300.0
0.479012,0.0129993,300.0
0.362,0.164,299.99999999999994
0.539,0.167999,300.0
0.008,0.16,300.000032785439
0.547,0.286,300.0
0.353,0.009,300.0000000000001
0.176,0.077,300.21947855235663
0.264,0.236,300.0
0.0459999,0.112004,300.15098291000186
0.404,0.073,300.0
0.311,0.086,299.9999999999983
0.0709995,0.202998,304.325658513865
0.181,0.16,299.9999989778475
0.037,0.058,311.49341921228
0.351,0.268,300.0
0.3,0.117,299.9999999999952
0.112,0.163,306.9106363782764
0.133009,0.190001,300.4766567682184
0.203,0.092,300.00191988307404
0.442992,0.261,300.0
0.247,0.298,300.0
0.13,0.105,301.1513966370473
0.0830063,0.245,309.814
0.274,0.02,300.0000003642002
0.282,0.165,299.99999999999613
0.531,0.246,300.0
0.464,0.191997,300.0
0.145,0.132998,300.00788071802907
0.236998,0.211,300.0
0.187,0.006,347.0780977380785
0.0859976,0.0619999,318.1966178151836
0.306,0.28,300.0
0.429,0.047,300.0
0.311,0.043,299.99999999998835
0.364,0.113,300.0
0.5,0.166,300.0
0.342,0.186,300.0
0.241,0.266,300.0
0.163,0.011,339.43172720097647
0.368,0.094,300.0
0.059,0.136,300.67855604347125
0.108011,0.291,311.535
0.178009,0.267,300.0
0.0799985,0.188979,308.1501944881538
0.405,0.172,300.0
0.223,0.109,300.000005379822
0.006,0.03,342.2441753163568
0.489002,0.221,300.0
0.026,0.288,300.001
0.499002,0.0779999,300.0
0.477019,0.0890234,300.0
0.215,0.278,300.0
0.477,0.04,300.0
0.383998,0.245,300.0
0.156996,0.214,300.004
0.562,0.008,300.0
0.555,0.178,300.0
0.195,0.219,300.0
0.382999,0.219,300.0
0.372,0.152,300.0
0.073,0.109,303.9585597439399
0.550003,0.0559999,300.0
0.144,0.0739964,308.7615488980162
0.238,0.029,300.0005761470155
0.0159998,0.24,300.0
0.039,0.04,325.3112250087031
0.041,0.19,300.0238183796423
0.0739999,0.164,304.90832756589873
0.300999,0.22,300.0
0.031,0.137,300.00552937470604
0.525,0.213994,300.0
0.279,0.254,300.0
0.424994,0.234,300.0
0.265,0.117,300.0000000040507
0.501,0.297,300.0
0.011,0.077,300.1984877817612
0.0640011,0.263,301.293
0.353997,0.212,300.0
0.356,0.298,300.0
0.417,0.125,300.0
0.321,0.074,299.9999999999983
0.096,0.018,339.1362308153838
0.429,0.009,300.0
0.416994,0.191,300.0
0.129,0.275,301.116
0.471,0.246,300.0
0.302,0.148,299.99999999999983
0.466007,0.114001,300.0
0.464,0.293,300.0
0.555,0.239,300.0
0.0349983,0.227,300.018
