X,Y,Temperature
0.095,0.005,342.104
0.095,0.0,342.165
0.1,-5.4899999999999995e-34,342.135
0.1,0.005,342.084
0.1,0.01,342.026
0.095,0.01,342.045
0.1,0.015,341.969
0.095,0.015,341.989
0.1,0.02,341.915
0.095,0.02,341.934
0.1,0.025,341.862
0.095,0.025,341.882
0.1,0.03,341.81200000000007
0.095,0.03,341.832
0.1,0.035,341.76399999999995
0.095,0.035,341.783
0.1,0.04,341.718
0.095,0.04,341.737
0.1,0.045,341.674
0.095,0.045,341.693
0.1,0.05,341.632
0.095,0.05,341.651
0.1,0.055,341.5919999999999
0.095,0.055,341.611
0.1,0.06,341.5539999999999
0.095,0.06,341.574
0.1,0.065,341.518
0.095,0.065,341.538
0.1,0.07,341.484
0.095,0.07,341.504
0.1,0.075,341.453
0.095,0.075,341.472
0.1,0.08,341.423
0.095,0.08,341.443
0.1,0.085,341.396
0.095,0.085,341.415
0.1,0.09,341.37000000000006
0.095,0.09,341.389
0.1,0.095,341.347
0.095,0.095,341.366
0.1,0.1,341.335
0.095,0.1,341.345
0.09,-5.2e-34,342.182
0.09,0.005,342.121
0.09,0.01,342.063
0.09,0.015,342.006
0.09,0.02,341.952
0.09,0.025,341.9
0.09,0.03,341.849
0.09,0.035,341.801
0.09,0.04,341.755
0.09,0.045,341.711
0.09,0.05,341.669
0.09,0.055,341.629
0.09,0.06,341.591
0.09,0.065,341.555
0.09,0.07,341.521
0.09,0.075,341.49
0.09,0.08,341.46
0.09,0.085,341.432
0.09,0.09,341.407
0.09,0.095,341.383
0.09,0.1,341.362
0.085,-4.9099999999999994e-34,342.19800000000004
0.085,0.005,342.137
0.085,0.01,342.078
0.085,0.015,342.022
0.085,0.02,341.967
0.085,0.025,341.915
0.085,0.03,341.865
0.085,0.035,341.816
0.085,0.04,341.77
0.085,0.045,341.726
0.085,0.05,341.684
0.085,0.055,341.644
0.085,0.06,341.606
0.085,0.065,341.571
0.085,0.07,341.537
0.085,0.075,341.505
0.085,0.08,341.475
0.085,0.085,341.448
0.085,0.09,341.422
0.085,0.095,341.399
0.085,0.1,341.377
0.08,-4.62e-34,342.211
0.08,0.005,342.151
0.08,0.01,342.092
0.08,0.015,342.035
0.08,0.02,341.981
0.08,0.025,341.928
0.08,0.03,341.878
0.08,0.035,341.83
0.08,0.04,341.784
0.08,0.045,341.74
0.08,0.05,341.698
0.08,0.055,341.658
0.08,0.06,341.62
0.08,0.065,341.584
0.08,0.07,341.55
0.08,0.075,341.518
0.08,0.08,341.489
0.08,0.085,341.461
0.08,0.09,341.435
0.08,0.095,341.412
0.08,0.1,341.39000000000004
0.075,-4.329999999999999e-34,342.223
0.075,0.005,342.162
0.075,0.01,342.103
0.075,0.015,342.047
0.075,0.02,341.992
0.075,0.025,341.94
0.075,0.03,341.89
0.075,0.035,341.841
0.075,0.04,341.795
0.075,0.045,341.751
0.075,0.05,341.709
0.075,0.055,341.669
0.075,0.06,341.631
0.075,0.065,341.595
0.075,0.07,341.561
0.075,0.075,341.53
0.075,0.08,341.5
0.075,0.085,341.472
0.075,0.09,341.447
0.075,0.095,341.423
0.075,0.1,341.402
0.07,-4.04e-34,342.232
0.07,0.005,342.171
0.07,0.01,342.113
0.07,0.015,342.056
0.07,0.02,342.002
0.07,0.025,341.949
0.07,0.03,341.899
0.07,0.035,341.851
0.07,0.04,341.804
0.07,0.045,341.76
0.07,0.05,341.718
0.07,0.055,341.678
0.07,0.06,341.64
0.07,0.065,341.604
0.07,0.07,341.571
0.07,0.075,341.539
0.07,0.08,341.509
0.07,0.085,341.482
0.07,0.09,341.456
0.07,0.095,341.432
0.07,0.1,341.411
0.065,-3.76e-34,342.239
0.065,0.005,342.178
0.065,0.01,342.12
0.065,0.015,342.063
0.065,0.02,342.009
0.065,0.025,341.956
0.065,0.03,341.906
0.065,0.035,341.858
0.065,0.04,341.812
0.065,0.045,341.767
0.065,0.05,341.725
0.065,0.055,341.685
0.065,0.06,341.647
0.065,0.065,341.612
0.065,0.07,341.578
0.065,0.075,341.546
0.065,0.08,341.516
0.065,0.085,341.489
0.065,0.09,341.463
0.065,0.095,341.44
0.065,0.1,341.41799999999995
0.06,-3.47e-34,342.24399999999997
0.06,0.005,342.184
0.06,0.01,342.125
0.06,0.015,342.068
0.06,0.02,342.014
0.06,0.025,341.962
0.06,0.03,341.911
0.06,0.035,341.863
0.06,0.04,341.817
0.06,0.045,341.773
