X,Y,Temperature
0.0,0.0,342.135
0.005,0.0,342.165
0.01,0.0,342.182
0.015,0.0,342.19800000000004
0.02,0.0,342.211
0.025,0.0,342.223
0.03,0.0,342.232
0.035,0.0,342.239
0.04,0.0,342.24399999999997
0.045,0.0,342.247
0.05,0.0,342.249
0.055,0.0,342.247
0.06,0.0,342.24399999999997
0.065,0.0,342.239
0.07,0.0,342.232
0.075,0.0,342.223
0.08,0.0,342.211
0.085,0.0,342.19800000000004
0.09,0.0,342.182
0.095,0.0,342.165
0.1,0.0,342.135
0.0,0.005,342.084
0.005,0.005,342.104
0.01,0.005,342.121
0.015,0.005,342.137
0.02,0.005,342.151
0.025,0.005,342.162
0.03,0.005,342.171
0.035,0.005,342.178
0.04,0.005,342.184
0.045,0.005,342.187
0.05,0.005,342.188
0.055,0.005,342.187
0.06,0.005,342.184
0.065,0.005,342.178
0.07,0.005,342.171
0.075,0.005,342.162
0.08,0.005,342.151
0.085,0.005,342.137
0.09,0.005,342.121
0.095,0.005,342.104
0.1,0.005,342.084
0.0,0.01,342.026
0.005,0.01,342.045
0.01,0.01,342.063
0.015,0.01,342.078
0.02,0.01,342.092
0.025,0.01,342.103
0.03,0.01,342.113
0.035,0.01,342.12
0.04,0.01,342.125
0.045,0.01,342.128
0.05,0.01,342.129
0.055,0.01,342.128
0.06,0.01,342.125
0.065,0.01,342.12
0.07,0.01,342.113
0.075,0.01,342.103
0.08,0.01,342.092
0.085,0.01,342.078
0.09,0.01,342.063
0.095,0.01,342.045
0.1,0.01,342.026
0.0,0.015,341.969
0.005,0.015,341.989
0.01,0.015,342.006
0.015,0.015,342.022
0.02,0.015,342.035
0.025,0.015,342.047
0.03,0.015,342.056
0.035,0.015,342.063
0.04,0.015,342.068
0.045,0.015,342.072
0.05,0.015,342.073
0.055,0.015,342.072
0.06,0.015,342.068
0.065,0.015,342.063
0.07,0.015,342.056
0.075,0.015,342.047
0.08,0.015,342.035
0.085,0.015,342.022
0.09,0.015,342.006
0.095,0.015,341.989
0.1,0.015,341.969
0.0,0.02,341.915
0.005,0.02,341.934
0.01,0.02,341.952
0.015,0.02,341.967
0.02,0.02,341.981
0.025,0.02,341.992
0.03,0.02,342.002
0.035,0.02,342.009
0.04,0.02,342.014
0.045,0.02,342.017
0.05,0.02,342.018
0.055,0.02,342.017
0.06,0.02,342.014
0.065,0.02,342.009
0.07,0.02,342.002
0.075,0.02,341.992
0.08,0.02,341.981
0.085,0.02,341.967
0.09,0.02,341.952
0.095,0.02,341.934
0.1,0.02,341.915
0.0,0.025,341.862
0.005,0.025,341.882
0.01,0.025,341.9
0.015,0.025,341.915
0.02,0.025,341.928
0.025,0.025,341.94
0.03,0.025,341.949
0.035,0.025,341.956
0.04,0.025,341.962
0.045,0.025,341.965
0.05,0.025,341.966
0.055,0.025,341.965
0.06,0.025,341.962
0.065,0.025,341.956
0.07,0.025,341.949
0.075,0.025,341.94
0.08,0.025,341.928
0.085,0.025,341.915
0.09,0.025,341.9
0.095,0.025,341.882
0.1,0.025,341.862
0.0,0.03,341.81200000000007
0.005,0.03,341.832
0.01,0.03,341.849
0.015,0.03,341.865
0.02,0.03,341.878
0.025,0.03,341.89
0.03,0.03,341.899
0.035,0.03,341.906
0.04,0.03,341.911
0.045,0.03,341.914
0.05,0.03,341.915
0.055,0.03,341.914
0.06,0.03,341.911
0.065,0.03,341.906
0.07,0.03,341.899
0.075,0.03,341.89
0.08,0.03,341.878
0.085,0.03,341.865
0.09,0.03,341.849
0.095,0.03,341.832
0.1,0.03,341.81200000000007
0.0,0.035,341.76399999999995
0.005,0.035,341.783
0.01,0.035,341.801
0.015,0.035,341.816
0.02,0.035,341.83
0.025,0.035,341.841
0.03,0.035,341.851
0.035,0.035,341.858
0.04,0.035,341.863
0.045,0.035,341.866
0.05,0.035,341.867
0.055,0.035,341.866
0.06,0.035,341.863
0.065,0.035,341.858
0.07,0.035,341.851
0.075,0.035,341.841
0.08,0.035,341.83
0.085,0.035,341.816
0.09,0.035,341.801
0.095,0.035,341.783
0.1,0.035,341.76399999999995
0.0,0.04,341.718
0.005,0.04,341.737
0.01,0.04,341.755
0.015,0.04,341.77
0.02,0.04,341.784
0.025,0.04,341.795
0.03,0.04,341.804
0.035,0.04,341.812
0.04,0.04,341.817
0.045,0.04,341.82
0.05,0.04,341.821
0.055,0.04,341.82
0.06,0.04,341.817
0.065,0.04,341.812
0.07,0.04,341.804
0.075,0.04,341.795
0.08,0.04,341.784
0.085,0.04,341.77
0.09,0.04,341.755
0.095,0.04,341.737
0.1,0.04,341.718
0.0,0.045,341.674
0.005,0.045,341.693
0.01,0.045,341.711
0.015,0.045,341.726
0.02,0.045,341.74
0.025,0.045,341.751
0.03,0.045,341.76
0.035,0.045,341.767
0.04,0.045,341.773
0.045,0.045,341.776
0.05,0.045,341.777
0.055,0.045,341.776
0.06,0.045,341.773
0.065,0.045,341.767
0.07,0.045,341.76
0.075,0.045,341.751
0.08,0.045,341.74
0.085,0.045,341.726
0.09,0.045,341.711
0.095,0.045,341.693
0.1,0.045,341.674
0.0,0.05,341.632
0.005,0.05,341.651
0.01,0.05,341.669
0.015,0.05,341.684
0.02,0.05,341.698
0.025,0.05,341.709
0.03,0.05,341.718
0.035,0.05,341.725
0.04,0.05,341.731
0.045,0.05,341.734
0.05,0.05,341.735
0.055,0.05,341.734
0.06,0.05,341.731
0.065,0.05,341.725
0.07,0.05,341.718
0.075,0.05,341.709
0.08,0.05,341.698
0.085,0.05,341.684
0.09,0.05,341.669
0.095,0.05,341.651
0.1,0.05,341.632
0.0,0.055,341.5919999999999
0.005,0.055,341.611
0.01,0.055,341.629
0.015,0.055,341.644
0.02,0.055,341.658
0.025,0.055,341.669
0.03,0.055,341.678
0.035,0.055,341.685
0.04,0.055,341.691
0.045,0.055,341.694
0.05,0.055,341.695
0.055,0.055,341.694
0.06,0.055,341.691
0.065,0.055,341.685
0.07,0.055,341.678
0.075,0.055,341.669
0.08,0.055,341.658
0.085,0.055,341.644
0.09,0.055,341.629
0.095,0.055,341.611
0.1,0.055,341.5919999999999
0.0,0.06,341.5539999999999
0.005,0.06,341.574
0.01,0.06,341.591
0.015,0.06,341.606
0.02,0.06,341.62
0.025,0.06,341.631
0.03,0.06,341.64
0.035,0.06,341.647
0.04,0.06,341.653
0.045,0.06,341.656
0.05,0.06,341.657
0.055,0.06,341.656
0.06,0.06,341.653
0.065,0.06,341.647
0.07,0.06,341.64
0.075,0.06,341.631
0.08,0.06,341.62
0.085,0.06,341.606
0.09,0.06,341.591
0.095,0.06,341.574
0.1,0.06,341.5539999999999
0.0,0.065,341.518
0.005,0.065,341.538
0.01,0.065,341.555
0.015,0.065,341.571
0.02,0.065,341.584
0.025,0.065,341.595
0.03,0.065,341.604
0.035,0.065,341.612
0.04,0.065,341.617
0.045,0.065,341.62
0.05,0.065,341.621
0.055,0.065,341.62
0.06,0.065,341.617
0.065,0.065,341.612
0.07,0.065,341.604
0.075,0.065,341.595
0.08,0.065,341.584
0.085,0.065,341.571
0.09,0.065,341.555
0.095,0.065,341.538
0.1,0.065,341.518
0.0,0.07,341.484
0.005,0.07,341.504
0.01,0.07,341.521
0.015,0.07,341.537
0.02,0.07,341.55
0.025,0.07,341.561
0.03,0.07,341.571
0.035,0.07,341.578
0.04,0.07,341.583
0.045,0.07,341.586
0.05,0.07,341.587
0.055,0.07,341.586
0.06,0.07,341.583
0.065,0.07,341.578
0.07,0.07,341.571
0.075,0.07,341.561
0.08,0.07,341.55
0.085,0.07,341.537
0.09,0.07,341.521
0.095,0.07,341.504
0.1,0.07,341.484
0.0,0.075,341.453
0.005,0.075,341.472
0.01,0.075,341.49
0.015,0.075,341.505
0.02,0.075,341.518
0.025,0.075,341.53
0.03,0.075,341.539
0.035,0.075,341.546
0.04,0.075,341.551
0.045,0.075,341.554
0.05,0.075,341.555
0.055,0.075,341.554
0.06,0.075,341.551
0.065,0.075,341.546
0.07,0.075,341.539
0.075,0.075,341.53
0.08,0.075,341.518
0.085,0.075,341.505
0.09,0.075,341.49
0.095,0.075,341.472
0.1,0.075,341.453
0.0,0.08,341.423
0.005,0.08,341.443
0.01,0.08,341.46
