X,Y,Temperature
0,0,342.135
-6.94E-19,0.005,342.084
-1.39E-18,0.01,342.026
-2.08E-18,0.015,341.969
-2.78E-18,0.02,341.915
-3.47E-18,0.025,341.862
-4.16E-18,0.03,341.812
-4.86E-18,0.035,341.764
-5.55E-18,0.04,341.718
-6.25E-18,0.045,341.674
-6.94E-18,0.05,341.632
-7.63E-18,0.055,341.592
-8.33E-18,0.06,341.554
-9.02E-18,0.065,341.518
-9.71E-18,0.07,341.484
-1.04E-17,0.075,341.453
-1.11E-17,0.08,341.423
-1.18E-17,0.085,341.396
-1.25E-17,0.09,341.37
-1.32E-17,0.095,341.347
0,0.1,341.335
0.1,0.1,341.335
0.095,0.1,341.345
0.09,0.1,341.362
0.085,0.1,341.377
0.08,0.1,341.39
0.075,0.1,341.402
0.07,0.1,341.411
0.065,0.1,341.418
0.06,0.1,341.423
0.055,0.1,341.426
0.05,0.1,341.427
0.045,0.1,341.426
0.04,0.1,341.423
0.035,0.1,341.418
0.03,0.1,341.411
0.025,0.1,341.402
0.02,0.1,341.39
0.015,0.1,341.377
0.01,0.1,341.362
0.005,0.1,341.345
0,0.1,341.335
0.1,0.1,341.335
0.1,0.095,341.347
0.1,0.09,341.37
0.1,0.085,341.396
0.1,0.08,341.423
0.1,0.075,341.453
0.1,0.07,341.484
0.1,0.065,341.518
0.1,0.06,341.554
0.1,0.055,341.592
0.1,0.05,341.632
0.1,0.045,341.674
0.1,0.04,341.718
0.1,0.035,341.764
0.1,0.03,341.812
0.1,0.025,341.862
0.1,0.02,341.915
0.1,0.015,341.969
0.1,0.01,342.026
0.1,0.005,342.084
0.1,0,342.135
0.1,0,342.135
0.095,0,342.165
0.09,0,342.182
0.085,0,342.198
0.08,0,342.211
0.075,0,342.223
0.07,0,342.232
0.065,0,342.239
0.06,0,342.244
0.055,0,342.247
0.05,0,342.249
0.045,0,342.247
0.04,0,342.244
0.035,0,342.239
0.03,0,342.232
0.025,0,342.223
0.02,0,342.211
0.015,0,342.198
0.01,0,342.182
0.005,0,342.165
0,0,342.135
0.05,0.055,341.695
0.05,0.05,341.735
0.055,0.05,341.734
0.055,0.055,341.694
0.05,0.045,341.777
0.055,0.045,341.776
0.045,0.05,341.734
0.045,0.055,341.694
0.045,0.045,341.776
0.045,0.06,341.656
0.05,0.06,341.657
0.055,0.06,341.656
0.06,0.055,341.691
0.06,0.05,341.731
0.06,0.045,341.773
0.055,0.04,341.82
0.05,0.04,341.821
0.045,0.04,341.82
0.04,0.05,341.731
0.04,0.055,341.691
0.04,0.045,341.773
0.04,0.06,341.653
0.06,0.06,341.653
0.06,0.04,341.817
0.04,0.04,341.817
0.045,0.065,341.62
0.05,0.065,341.621
0.04,0.065,341.617
0.065,0.055,341.685
0.065,0.05,341.725
0.065,0.06,341.647
0.055,0.065,341.62
0.06,0.065,341.617
0.055,0.035,341.866
0.05,0.035,341.867
0.06,0.035,341.863
0.065,0.045,341.767
0.065,0.04,341.812
0.035,0.045,341.767
0.035,0.05,341.725
0.035,0.04,341.812
0.045,0.035,341.866
0.04,0.035,341.863
0.035,0.06,341.647
0.035,0.055,341.685
0.035,0.065,341.612
0.065,0.065,341.612
0.065,0.035,341.858
0.035,0.035,341.858
0.03,0.055,341.678
0.03,0.06,341.64
0.03,0.065,341.604
0.035,0.07,341.578
0.04,0.07,341.583
0.045,0.07,341.586
0.05,0.07,341.587
0.055,0.07,341.586
0.06,0.07,341.583
0.065,0.07,341.578
0.07,0.065,341.604
0.07,0.06,341.64
0.07,0.055,341.678
0.07,0.05,341.718
0.07,0.045,341.76
0.07,0.04,341.804
0.07,0.035,341.851
0.065,0.03,341.906
0.06,0.03,341.911
0.055,0.03,341.914
0.05,0.03,341.915
0.045,0.03,341.914
0.04,0.03,341.911
0.035,0.03,341.906
0.03,0.035,341.851
