X,Y,Temperature
0.095,0.005,333.621
0.095,-5.49E-34,334.835
0.1,-5.78E-34,334.291
0.1,0.005,333.309
0.1,0.01,332.175
0.095,0.01,332.478
0.1,0.015,331.106
0.095,0.015,331.4
0.1,0.02,330.101
0.095,0.02,330.386
0.1,0.025,329.155
0.095,0.025,329.432
0.1,0.03,328.267
0.095,0.03,328.536
0.1,0.035,327.435
0.095,0.035,327.696
0.1,0.04,326.656
0.095,0.04,326.91
0.1,0.045,325.93
0.095,0.045,326.176
0.1,0.05,325.254
0.095,0.05,325.494
0.095,0.055,324.861
0.1,0.055,324.627
0.1,0.06,324.047
0.095,0.06,324.276
0.1,0.065,323.515
0.095,0.065,323.738
0.1,0.07,323.028
0.095,0.07,323.247
0.1,0.075,322.585
0.095,0.075,322.8
0.1,0.08,322.187
0.095,0.08,322.398
0.1,0.085,321.831
0.095,0.085,322.039
0.1,0.09,321.518
0.095,0.09,321.723
0.1,0.095,321.246
0.095,0.095,321.448
0.1,0.1,321.121
0.095,0.1,321.215
0.09,0.005,333.893
0.09,-5.20E-34,335.109
0.09,0.01,332.744
0.09,0.015,331.66
0.09,0.02,330.639
0.09,0.025,329.678
0.09,0.03,328.775
0.09,0.035,327.928
0.09,0.04,327.136
0.09,0.045,326.397
0.09,0.05,325.709
0.09,0.055,325.071
0.09,0.06,324.481
0.09,0.065,323.939
0.09,0.07,323.443
0.09,0.075,322.993
0.09,0.08,322.587
0.09,0.085,322.225
0.09,0.09,321.906
0.09,0.095,321.63
0.09,0.1,321.395
0.085,0.005,334.128
0.085,-4.91E-34,335.345
0.085,0.01,332.976
0.085,0.015,331.888
0.085,0.02,330.861
0.085,0.025,329.894
0.085,0.03,328.986
0.085,0.035,328.134
0.085,0.04,327.336
0.085,0.045,326.592
0.085,0.05,325.899
0.085,0.055,325.256
0.085,0.06,324.662
0.085,0.065,324.116
0.085,0.07,323.617
0.085,0.075,323.163
0.085,0.08,322.755
0.085,0.085,322.39
0.085,0.09,322.069
0.085,0.095,321.79
0.085,0.1,321.553
0.08,0.005,334.328
0.08,-4.62E-34,335.546
0.08,0.01,333.174
0.08,0.015,332.082
0.08,0.02,331.052
0.08,0.025,330.081
0.08,0.03,329.168
0.08,0.035,328.311
0.08,0.04,327.509
0.08,0.045,326.76
0.08,0.05,326.064
0.08,0.055,325.417
0.08,0.06,324.82
0.08,0.065,324.27
0.08,0.07,323.768
0.08,0.075,323.311
0.08,0.08,322.9
0.08,0.085,322.533
0.08,0.09,322.21
0.08,0.095,321.929
0.08,0.1,321.691
0.075,0.005,334.496
0.075,-4.33E-34,335.714
0.075,0.01,333.34
0.075,0.015,332.246
0.075,0.02,331.212
0.075,0.025,330.238
0.075,0.03,329.321
0.075,0.035,328.461
0.075,0.04,327.656
0.075,0.045,326.903
0.075,0.05,326.203
0.075,0.055,325.553
0.075,0.06,324.953
0.075,0.065,324.401
