X,Y,Temperature
-0.0,0.0,333.538
0.005,0.0,333.852
0.01,0.0,334.126
0.015,0.0,334.363
0.02,0.0,334.564
0.025,0.0,335.952
0.03,0.0,336.089
0.035,0.0,336.195
0.04,0.0,336.27
0.045,0.0,336.315
0.05,0.0,336.33
0.055,0.0,336.315
0.06,0.0,336.27
0.065,0.0,336.195
0.07,0.0,336.089
0.075,0.0,335.952
0.08,0.0,334.564
0.085,0.0,334.363
0.09,0.0,334.126
0.095,0.0,335.066
0.1,0.0,334.521
-0.0,0.005,334.521
0.005,0.005,335.066
0.01,0.005,335.342
0.015,0.005,335.58
0.02,0.005,335.783
0.025,0.005,334.733
0.03,0.005,334.87
0.035,0.005,334.975
0.04,0.005,335.05
0.045,0.005,335.095
0.05,0.005,335.11
0.055,0.005,335.095
0.06,0.005,335.05
0.065,0.005,334.975
0.07,0.005,334.87
0.075,0.005,334.733
0.08,0.005,335.783
0.085,0.005,335.58
0.09,0.005,335.342
0.095,0.005,333.852
0.1,0.005,333.538
-0.0,0.01,332.402
0.005,0.01,332.707
0.01,0.01,332.975
0.015,0.01,333.209
0.02,0.01,333.408
0.025,0.01,333.575
0.03,0.01,333.711
0.035,0.01,333.815
0.04,0.01,333.89
0.045,0.01,333.934
0.05,0.01,333.949
0.055,0.01,333.934
0.06,0.01,333.89
0.065,0.01,333.815
0.07,0.01,333.711
0.075,0.01,333.575
0.08,0.01,333.408
0.085,0.01,333.209
0.09,0.01,332.975
0.095,0.01,332.707
0.1,0.01,332.402
-0.0,0.015,331.331
0.005,0.015,331.627
0.01,0.015,331.889
0.015,0.015,332.118
0.02,0.015,332.314
0.025,0.015,332.478
0.03,0.015,332.612
0.035,0.015,332.715
0.04,0.015,332.789
0.045,0.015,332.833
0.05,0.015,332.848
0.055,0.015,332.833
0.06,0.015,332.789
0.065,0.015,332.715
0.07,0.015,332.612
0.075,0.015,332.478
0.08,0.015,332.314
0.085,0.015,332.118
0.09,0.015,331.889
0.095,0.015,331.627
0.1,0.015,331.331
-0.0,0.02,330.322
0.005,0.02,330.609
0.01,0.02,330.864
0.015,0.02,331.088
0.02,0.02,331.28
0.025,0.02,331.441
0.03,0.02,331.573
0.035,0.02,331.675
0.04,0.02,331.747
0.045,0.02,331.79
0.05,0.02,331.805
0.055,0.02,331.79
0.06,0.02,331.747
0.065,0.02,331.675
0.07,0.02,331.573
0.075,0.02,331.441
0.08,0.02,331.28
0.085,0.02,331.088
0.09,0.02,330.864
0.095,0.02,330.609
0.1,0.02,330.322
-0.0,0.025,329.372
0.005,0.025,329.651
0.01,0.025,329.899
0.015,0.025,330.117
0.02,0.025,330.305
0.025,0.025,330.463
0.03,0.025,330.592
0.035,0.025,330.692
0.04,0.025,330.763
0.045,0.025,330.806
0.05,0.025,330.82
0.055,0.025,330.806
0.06,0.025,330.763
0.065,0.025,330.692
0.07,0.025,330.592
0.075,0.025,330.463
0.08,0.025,330.305
0.085,0.025,330.117
0.09,0.025,329.899
0.095,0.025,329.651
0.1,0.025,329.372
-0.0,0.03,328.48
0.005,0.03,328.75
0.01,0.03,328.992
0.015,0.03,329.204
0.02,0.03,329.387
0.025,0.03,329.542
0.03,0.03,329.668
0.035,0.03,329.766
0.04,0.03,329.836
0.045,0.03,329.878
0.05,0.03,329.892
0.055,0.03,329.878
0.06,0.03,329.836
0.065,0.03,329.766
0.07,0.03,329.668
0.075,0.03,329.542
0.08,0.03,329.387
0.085,0.03,329.204
0.09,0.03,328.992
0.095,0.03,328.75
0.1,0.03,328.48
-0.0,0.035,327.643
0.005,0.035,327.906
0.01,0.035,328.14
0.015,0.035,328.347
0.02,0.035,328.526
0.025,0.035,328.677
0.03,0.035,328.8
0.035,0.035,328.896
0.04,0.035,328.964
0.045,0.035,329.005
0.05,0.035,329.019
0.055,0.035,329.005
0.06,0.035,328.964
0.065,0.035,328.896
0.07,0.035,328.8
0.075,0.035,328.677
0.08,0.035,328.526
0.085,0.035,328.347
0.09,0.035,328.14
0.095,0.035,327.906
0.1,0.035,327.643
-0.0,0.04,326.86
0.005,0.04,327.115
0.01,0.04,327.344
0.015,0.04,327.545
0.02,0.04,327.719
