X,Y,Temperature
0.095,0.005,333.852
0.095,0,335.066
0.1,-5.49E-34,334.521
0.1,0.005,333.538
0.1,0.01,332.402
0.095,0.01,332.707
0.1,0.015,331.331
0.095,0.015,331.627
0.1,0.02,330.322
0.095,0.02,330.609
0.1,0.025,329.372
0.095,0.025,329.651
0.1,0.03,328.48
0.095,0.03,328.75
0.1,0.035,327.643
0.095,0.035,327.906
0.1,0.04,326.86
0.095,0.04,327.115
0.1,0.045,326.129
0.095,0.045,326.377
0.1,0.05,325.448
0.095,0.05,325.69
0.1,0.055,324.817
0.095,0.055,325.053
0.1,0.06,324.234
0.095,0.06,324.464
0.1,0.065,323.697
0.095,0.065,323.923
0.1,0.07,323.207
0.095,0.07,323.427
0.1,0.075,322.761
0.095,0.075,322.977
0.1,0.08,322.359
0.095,0.08,322.572
0.1,0.085,322.001
0.095,0.085,322.21
0.1,0.09,321.685
0.095,0.09,321.892
0.1,0.095,321.411
0.095,0.095,321.615
0.1,0.1,321.285
0.095,0.1,321.381
0.09,-5.20E-34,334.126
0.09,0.005,335.342
0.09,0.01,332.975
0.09,0.015,331.889
0.09,0.02,330.864
0.09,0.025,329.899
0.09,0.03,328.992
0.09,0.035,328.14
0.09,0.04,327.344
0.09,0.045,326.599
0.09,0.05,325.907
0.09,0.055,325.264
0.09,0.06,324.671
0.09,0.065,324.125
0.09,0.07,323.625
0.09,0.075,323.172
0.09,0.08,322.763
0.09,0.085,322.398
0.09,0.09,322.077
0.09,0.095,321.798
0.09,0.1,321.561
0.085,-4.91E-34,334.363
0.085,0.005,335.58
0.085,0.01,333.209
0.085,0.015,332.118
0.085,0.02,331.088
0.085,0.025,330.117
0.085,0.03,329.204
0.085,0.035,328.347
0.085,0.04,327.545
0.085,0.045,326.796
0.085,0.05,326.098
0.085,0.055,325.451
0.085,0.06,324.853
0.085,0.065,324.303
0.085,0.07,323.8
0.085,0.075,323.343
0.085,0.08,322.932
0.085,0.085,322.564
0.085,0.09,322.24
0.085,0.095,321.96
0.085,0.1,321.721
0.08,-4.62E-34,334.564
0.08,0.005,335.783
0.08,0.01,333.408
0.08,0.015,332.314
0.08,0.02,331.28
0.08,0.025,330.305
0.08,0.03,329.387
0.08,0.035,328.526
0.08,0.04,327.719
0.08,0.045,326.966
0.08,0.05,326.264
0.08,0.055,325.613
0.08,0.06,325.012
0.08,0.065,324.458
0.08,0.07,323.952
0.08,0.075,323.493
0.08,0.08,323.078
0.08,0.085,322.708
0.08,0.09,322.382
0.08,0.095,322.1
0.08,0.1,321.86
0.075,-4.33E-34,335.952
0.075,0.005,334.733
0.075,0.01,333.575
0.075,0.015,332.478
0.075,0.02,331.441
0.075,0.025,330.463
0.075,0.03,329.542
0.075,0.035,328.677
0.075,0.04,327.867
0.075,0.045,327.11
0.075,0.05,326.405
0.075,0.055,325.751
0.075,0.06,325.146
0.075,0.065,324.59
0.075,0.07,324.081
0.075,0.075,323.619
0.075,0.08,323.202
0.075,0.085,322.831
0.075,0.09,322.503
0.075,0.095,322.219
0.075,0.1,321.978
0.07,-4.04E-34,336.089
0.07,0.005,334.87
0.07,0.01,333.711
0.07,0.015,332.612
0.07,0.02,331.573
0.07,0.025,330.592
0.07,0.03,329.668
0.07,0.035,328.8
0.07,0.04,327.987
0.07,0.045,327.227
0.07,0.05,326.52
0.07,0.055,325.863
0.07,0.06,325.256
0.07,0.065,324.697
0.07,0.07,324.187
0.07,0.075,323.722
0.07,0.08,323.304
0.07,0.085,322.931
0.07,0.09,322.602
0.07,0.095,322.316
0.07,0.1,322.074
0.065,-3.76E-34,336.195
0.065,0.005,334.975
0.065,0.01,333.815
0.065,0.015,332.715
0.065,0.02,331.675
0.065,0.025,330.692
0.065,0.03,329.766
0.065,0.035,328.896
0.065,0.04,328.081
0.065,0.045,327.319
0.065,0.05,326.609
0.065,0.055,325.95
0.065,0.06,325.341
0.065,0.065,324.781
0.065,0.07,324.269
0.065,0.075,323.803
0.065,0.08,323.383
0.065,0.085,323.009
0.065,0.09,322.679
0.065,0.095,322.392
0.065,0.1,322.149
