X,Y,Z_Plane,Temperature_3D,Temperature_2D,Temp_Difference
0.095,0.005,10,332.906,342.104,-9.198
0.095,-5.49E-34,10,334.117,342.165,-8.048
0.1,-5.78E-34,10,333.577,342.135,-8.558
0.1,0.005,10,332.6,342.084,-9.484
0.1,0.01,10,331.474,342.026,-10.552
0.095,0.01,10,331.77,342.045,-10.275
0.1,0.015,10,330.417,341.969,-11.552
0.095,0.015,10,330.704,341.989,-11.285
0.1,0.02,10,329.425,341.915,-12.49
0.095,0.02,10,329.704,341.934,-12.23
0.1,0.025,10,328.495,341.862,-13.367
0.095,0.025,10,328.765,341.882,-13.117
0.1,0.03,10,327.623,341.812,-14.189
0.095,0.03,10,327.885,341.832,-13.947
0.1,0.035,10,326.806,341.764,-14.958
0.095,0.035,10,327.061,341.783,-14.722
0.1,0.04,10,326.043,341.718,-15.675
0.095,0.04,10,326.291,341.737,-15.446
0.1,0.045,10,325.332,341.674,-16.342
0.095,0.045,10,325.573,341.693,-16.12
0.1,0.05,10,324.67,341.632,-16.962
0.095,0.05,10,324.905,341.651,-16.746
0.1,0.055,10,324.057,341.592,-17.535
0.095,0.055,10,324.285,341.611,-17.326
0.1,0.06,10,323.49,341.554,-18.064
0.095,0.06,10,323.714,341.574,-17.86
0.1,0.065,10,322.969,341.518,-18.549
0.095,0.065,10,323.188,341.538,-18.35
0.1,0.07,10,322.493,341.484,-18.991
0.095,0.07,10,322.707,341.504,-18.797
0.1,0.075,10,322.061,341.453,-19.392
0.095,0.075,10,322.271,341.472,-19.201
0.1,0.08,10,321.672,341.423,-19.751
0.095,0.08,10,321.878,341.443,-19.565
0.1,0.085,10,321.324,341.396,-20.072
0.095,0.085,10,321.527,341.415,-19.888
0.1,0.09,10,321.018,341.37,-20.352
0.095,0.09,10,321.218,341.389,-20.171
0.1,0.095,10,320.752,341.347,-20.595
0.095,0.095,10,320.95,341.366,-20.416
0.1,0.1,10,320.63,341.335,-20.705
0.095,0.1,10,320.722,341.345,-20.623
0.09,0.005,10,333.172,342.121,-8.949
0.09,-5.20E-34,10,334.385,342.182,-7.797
0.09,0.01,10,332.031,342.063,-10.032
0.09,0.015,10,330.959,342.006,-11.047
0.09,0.02,10,329.952,341.952,-12
0.09,0.025,10,329.006,341.9,-12.894
0.09,0.03,10,328.119,341.849,-13.73
0.09,0.035,10,327.289,341.801,-14.512
0.09,0.04,10,326.512,341.755,-15.243
0.09,0.045,10,325.788,341.711,-15.923
0.09,0.05,10,325.115,341.669,-16.554
0.09,0.055,10,324.49,341.629,-17.139
0.09,0.06,10,323.914,341.591,-17.677
0.09,0.065,10,323.384,341.555,-18.171
0.09,0.07,10,322.899,341.521,-18.622
0.09,0.075,10,322.459,341.49,-19.031
0.09,0.08,10,322.063,341.46,-19.397
0.09,0.085,10,321.709,341.432,-19.723
0.09,0.09,10,321.397,341.407,-20.01
0.09,0.095,10,321.127,341.383,-20.256
0.09,0.1,10,320.898,341.362,-20.464
0.085,0.005,10,333.401,342.137,-8.736
0.085,-4.91E-34,10,334.616,342.198,-7.582
0.085,0.01,10,332.257,342.078,-9.821
0.085,0.015,10,331.181,342.022,-10.841
0.085,0.02,10,330.168,341.967,-11.799
0.085,0.025,10,329.217,341.915,-12.698
0.085,0.03,10,328.325,341.865,-13.54
0.085,0.035,10,327.489,341.816,-14.327
0.085,0.04,10,326.707,341.77,-15.063
0.085,0.045,10,325.978,341.726,-15.748
0.085,0.05,10,325.3,341.684,-16.384
0.085,0.055,10,324.672,341.644,-16.972
0.085,0.06,10,324.091,341.606,-17.515
0.085,0.065,10,323.557,341.571,-18.014
0.085,0.07,10,323.069,341.537,-18.468
0.085,0.075,10,322.626,341.505,-18.879
0.085,0.08,10,322.226,341.475,-19.249
0.085,0.085,10,321.87,341.448,-19.578
0.085,0.09,10,321.556,341.422,-19.866
0.085,0.095,10,321.284,341.399,-20.115
0.085,0.1,10,321.053,341.377,-20.324
0.08,0.005,10,333.597,342.151,-8.554
0.08,-4.62E-34,10,334.812,342.211,-7.399
0.08,0.01,10,332.451,342.092,-9.641
0.08,0.015,10,331.371,342.035,-10.664
0.08,0.02,10,330.355,341.981,-11.626
0.08,0.025,10,329.4,341.928,-12.528
0.08,0.03,10,328.503,341.878,-13.375
0.08,0.035,10,327.663,341.83,-14.167
0.08,0.04,10,326.877,341.784,-14.907
0.08,0.045,10,326.143,341.74,-15.597
0.08,0.05,10,325.461,341.698,-16.237
0.08,0.055,10,324.829,341.658,-16.829
0.08,0.06,10,324.244,341.62,-17.376
0.08,0.065,10,323.707,341.584,-17.877
0.08,0.07,10,323.216,341.55,-18.334
0.08,0.075,10,322.77,341.518,-18.748
0.08,0.08,10,322.368,341.489,-19.121
0.08,0.085,10,322.01,341.461,-19.451
0.08,0.09,10,321.694,341.435,-19.741
0.08,0.095,10,321.42,341.412,-19.992
0.08,0.1,10,321.187,341.39,-20.203
0.075,0.005,10,333.761,342.162,-8.401
0.075,-4.33E-34,10,334.976,342.223,-7.247
0.075,0.01,10,332.613,342.103,-9.49
0.075,0.015,10,331.531,342.047,-10.516
0.075,0.02,10,330.512,341.992,-11.48
0.075,0.025,10,329.553,341.94,-12.387
0.075,0.03,10,328.653,341.89,-13.237
0.075,0.035,10,327.809,341.841,-14.032
0.075,0.04,10,327.02,341.795,-14.775
0.075,0.045,10,326.283,341.751,-15.468
0.075,0.05,10,325.597,341.709,-16.112
0.075,0.055,10,324.962,341.669,-16.707
0.075,0.06,10,324.375,341.631,-17.256
0.075,0.065,10,323.835,341.595,-17.76
0.075,0.07,10,323.341,341.561,-18.22
0.075,0.075,10,322.893,341.53,-18.637
0.075,0.08,10,322.489,341.5,-19.011
0.075,0.085,10,322.128,341.472,-19.344
0.075,0.09,10,321.81,341.447,-19.637
0.075,0.095,10,321.535,341.423,-19.888
0.075,0.1,10,321.301,341.402,-20.101
0.07,0.005,10,333.893,342.171,-8.278
0.07,-4.04E-34,10,335.109,342.232,-7.123
0.07,0.01,10,332.744,342.113,-9.369
0.07,0.015,10,331.66,342.056,-10.396
0.07,0.02,10,330.639,342.002,-11.363
0.07,0.025,10,329.678,341.949,-12.271
0.07,0.03,10,328.775,341.899,-13.124
0.07,0.035,10,327.928,341.851,-13.923
0.07,0.04,10,327.136,341.804,-14.668
0.07,0.045,10,326.397,341.76,-15.363
0.07,0.05,10,325.709,341.718,-16.009
0.07,0.055,10,325.071,341.678,-16.607
0.07,0.06,10,324.481,341.64,-17.159
0.07,0.065,10,323.939,341.604,-17.665
0.07,0.07,10,323.443,341.571,-18.128
0.07,0.075,10,322.993,341.539,-18.546
0.07,0.08,10,322.587,341.509,-18.922
0.07,0.085,10,322.225,341.482,-19.257
0.07,0.09,10,321.906,341.456,-19.55
0.07,0.095,10,321.63,341.432,-19.802
0.07,0.1,10,321.395,341.411,-20.016
0.065,0.005,10,333.995,342.178,-8.183
0.065,-3.76E-34,10,335.212,342.239,-7.027
0.065,0.01,10,332.846,342.12,-9.274
0.065,0.015,10,331.761,342.063,-10.302
0.065,0.02,10,330.738,342.009,-11.271
0.065,0.025,10,329.775,341.956,-12.181
0.065,0.03,10,328.87,341.906,-13.036
0.065,0.035,10,328.021,341.858,-13.837
0.065,0.04,10,327.227,341.812,-14.585
0.065,0.045,10,326.486,341.767,-15.281
0.065,0.05,10,325.795,341.725,-15.93
0.065,0.055,10,325.155,341.685,-16.53
0.065,0.06,10,324.564,341.647,-17.083
0.065,0.065,10,324.02,341.612,-17.592
0.065,0.07,10,323.523,341.578,-18.055
0.065,0.075,10,323.071,341.546,-18.475
0.065,0.08,10,322.664,341.516,-18.852
0.065,0.085,10,322.301,341.489,-19.188
0.065,0.09,10,321.981,341.463,-19.482
0.065,0.095,10,321.703,341.44,-19.737
0.065,0.1,10,321.468,341.418,-19.95
0.06,0.005,10,334.068,342.184,-8.116
0.06,-3.47E-34,10,335.284,342.244,-6.96
0.06,0.01,10,332.918,342.125,-9.207
0.06,0.015,10,331.832,342.068,-10.236
0.06,0.02,10,330.808,342.014,-11.206
0.06,0.025,10,329.844,341.962,-12.118
0.06,0.03,10,328.938,341.911,-12.973
0.06,0.035,10,328.088,341.863,-13.775
0.06,0.04,10,327.292,341.817,-14.525
0.06,0.045,10,326.549,341.773,-15.224
0.06,0.05,10,325.857,341.731,-15.874
0.06,0.055,10,325.216,341.691,-16.475
0.06,0.06,10,324.623,341.653,-17.03
0.06,0.065,10,324.078,341.617,-17.539
0.06,0.07,10,323.58,341.583,-18.003
0.06,0.075,10,323.127,341.551,-18.424
0.06,0.08,10,322.719,341.521,-18.802
0.06,0.085,10,322.355,341.494,-19.139
0.06,0.09,10,322.034,341.468,-19.434
0.06,0.095,10,321.756,341.445,-19.689
0.06,0.1,10,321.52,341.423,-19.903
0.055,0.005,10,334.111,342.187,-8.076
0.055,-3.18E-34,10,335.328,342.247,-6.919
0.055,0.01,10,332.961,342.128,-9.167
0.055,0.015,10,331.875,342.072,-10.197
0.055,0.02,10,330.85,342.017,-11.167
0.055,0.025,10,329.885,341.965,-12.08
0.055,0.03,10,328.978,341.914,-12.936
