X,Y,Temperature_3D,Temperature_2D,Temp_Difference
0.095,0.005,333.621,342.104,-8.483000000000004
0.095,-5.4899999999999995e-34,334.835,342.165,-7.330000000000041
0.1,-5.78e-34,334.291,342.135,-7.843999999999994
0.1,0.005,333.309,342.084,-8.774999999999977
0.1,0.01,332.175,342.026,-9.850999999999999
0.095,0.01,332.478,342.045,-9.567000000000007
0.1,0.015,331.106,341.969,-10.863
0.095,0.015,331.4,341.989,-10.588999999999999
0.1,0.02,330.101,341.915,-11.814000000000021
0.095,0.02,330.386,341.934,-11.548000000000002
0.1,0.025,329.155,341.862,-12.70700000000005
0.095,0.025,329.432,341.882,-12.449999999999989
0.1,0.03,328.267,341.81200000000007,-13.545000000000073
0.095,0.03,328.536,341.832,-13.295999999999992
0.1,0.035,327.435,341.76399999999995,-14.32899999999995
0.095,0.035,327.696,341.783,-14.086999999999989
0.1,0.04,326.656,341.718,-15.062000000000012
0.095,0.04,326.91,341.737,-14.826999999999998
0.1,0.045,325.93,341.674,-15.743999999999971
0.095,0.045,326.176,341.693,-15.516999999999996
0.1,0.05,325.254,341.632,-16.377999999999986
0.095,0.05,325.494,341.651,-16.156999999999982
0.095,0.055,324.861,341.611,-16.75
0.1,0.055,324.627,341.5919999999999,-16.964999999999918
0.1,0.06,324.047,341.5539999999999,-17.50699999999989
0.095,0.06,324.276,341.574,-17.298000000000002
0.1,0.065,323.515,341.518,-18.002999999999986
0.095,0.065,323.738,341.538,-17.80000000000001
0.1,0.07,323.028,341.484,-18.45599999999996
0.095,0.07,323.247,341.504,-18.257000000000005
0.1,0.075,322.585,341.453,-18.867999999999995
0.095,0.075,322.8,341.472,-18.67199999999997
0.1,0.08,322.187,341.423,-19.23599999999999
0.095,0.08,322.398,341.443,-19.04499999999996
0.1,0.085,321.831,341.396,-19.564999999999998
0.095,0.085,322.039,341.415,-19.376000000000033
0.1,0.09,321.518,341.37000000000006,-19.85200000000009
0.095,0.09,321.723,341.389,-19.665999999999997
0.1,0.095,321.246,341.347,-20.101
0.095,0.095,321.448,341.366,-19.918000000000006
0.1,0.1,321.121,341.335,-20.214
0.095,0.1,321.215,341.345,-20.130000000000052
0.09,0.005,333.893,342.121,-8.228000000000009
0.09,-5.2e-34,335.109,342.182,-7.073000000000036
0.09,0.01,332.744,342.063,-9.31899999999996
0.09,0.015,331.66,342.006,-10.345999999999947
0.09,0.02,330.639,341.952,-11.312999999999988
0.09,0.025,329.678,341.9,-12.22199999999998
0.09,0.03,328.775,341.849,-13.074000000000012
