X,Y,Temperature_3D,Temperature_2D,Temp_Difference
0.095,0.005,333.852,342.104,-8.25200000000001
0.095,0.0,335.066,342.165,-7.099000000000046
0.1,-5.4899999999999995e-34,334.521,342.135,-7.613999999999976
0.1,0.005,333.538,342.084,-8.545999999999992
0.1,0.01,332.402,342.026,-9.624000000000024
0.095,0.01,332.707,342.045,-9.338000000000022
0.1,0.015,331.331,341.969,-10.637999999999977
0.095,0.015,331.627,341.989,-10.361999999999966
0.1,0.02,330.322,341.915,-11.593000000000018
0.095,0.02,330.609,341.934,-11.325000000000045
0.1,0.025,329.372,341.862,-12.490000000000009
0.095,0.025,329.651,341.882,-12.230999999999995
0.1,0.03,328.48,341.81200000000007,-13.33200000000005
0.095,0.03,328.75,341.832,-13.081999999999994
0.1,0.035,327.643,341.76399999999995,-14.120999999999981
0.095,0.035,327.906,341.783,-13.87700000000001
0.1,0.04,326.86,341.718,-14.858000000000004
0.095,0.04,327.115,341.737,-14.622000000000014
0.1,0.045,326.129,341.674,-15.544999999999959
0.095,0.045,326.377,341.693,-15.315999999999974
0.1,0.05,325.448,341.632,-16.184000000000026
0.095,0.05,325.69,341.651,-15.961000000000013
0.1,0.055,324.817,341.5919999999999,-16.77499999999992
0.095,0.055,325.053,341.611,-16.557999999999993
0.1,0.06,324.234,341.5539999999999,-17.319999999999936
0.095,0.06,324.464,341.574,-17.110000000000014
0.1,0.065,323.697,341.518,-17.82099999999997
0.095,0.065,323.923,341.538,-17.61500000000001
0.1,0.07,323.207,341.484,-18.276999999999987
0.095,0.07,323.427,341.504,-18.076999999999998
0.1,0.075,322.761,341.453,-18.69199999999995
0.095,0.075,322.977,341.472,-18.495000000000005
0.1,0.08,322.359,341.423,-19.06400000000002
0.095,0.08,322.572,341.443,-18.87099999999998
0.1,0.085,322.001,341.396,-19.39500000000004
0.095,0.085,322.21,341.415,-19.20500000000004
0.1,0.09,321.685,341.37000000000006,-19.68500000000006
0.095,0.09,321.892,341.389,-19.497000000000014
0.1,0.095,321.411,341.347,-19.93599999999998
0.095,0.095,321.615,341.366,-19.750999999999976
0.1,0.1,321.285,341.335,-20.049999999999955
0.095,0.1,321.381,341.345,-19.964000000000055
0.09,-5.2e-34,334.126,342.182,-8.05600000000004
0.09,0.005,335.342,342.121,-6.778999999999996
0.09,0.01,332.975,342.063,-9.087999999999965
0.09,0.015,331.889,342.006,-10.116999999999962
0.09,0.02,330.864,341.952,-11.088000000000022
0.09,0.025,329.899,341.9,-12.000999999999976
0.09,0.03,328.992,341.849,-12.856999999999971
0.09,0.035,328.14,341.801,-13.661000000000001
0.09,0.04,327.344,341.755,-14.411000000000001
0.09,0.045,326.599,341.711,-15.112000000000023
0.09,0.05,325.907,341.669,-15.762
0.09,0.055,325.264,341.629,-16.36500000000001
0.09,0.06,324.671,341.591,-16.920000000000016
0.09,0.065,324.125,341.555,-17.430000000000007
0.09,0.07,323.625,341.521,-17.896000000000015
0.09,0.075,323.172,341.49,-18.317999999999984
0.09,0.08,322.763,341.46,-18.697000000000003
0.09,0.085,322.398,341.432,-19.033999999999992
0.09,0.09,322.077,341.407,-19.329999999999984
0.09,0.095,321.798,341.383,-19.58499999999998
0.09,0.1,321.561,341.362,-19.801000000000045
0.085,-4.9099999999999994e-34,334.363,342.19800000000004,-7.835000000000036
0.085,0.005,335.58,342.137,-6.557000000000016
0.085,0.01,333.209,342.078,-8.868999999999971
0.085,0.015,332.118,342.022,-9.903999999999996
0.085,0.02,331.088,341.967,-10.878999999999962
0.085,0.025,330.117,341.915,-11.798000000000002
0.085,0.03,329.204,341.865,-12.661000000000001
0.085,0.035,328.347,341.816,-13.468999999999994
0.085,0.04,327.545,341.77,-14.224999999999966
0.085,0.045,326.796,341.726,-14.930000000000007
0.085,0.05,326.098,341.684,-15.586000000000013
0.085,0.055,325.451,341.644,-16.192999999999984
0.085,0.06,324.853,341.606,-16.752999999999986
0.085,0.065,324.303,341.571,-17.26800000000003
0.085,0.07,323.8,341.537,-17.736999999999966
0.085,0.075,323.343,341.505,-18.161999999999978
0.085,0.08,322.932,341.475,-18.543000000000006
0.085,0.085,322.564,341.448,-18.883999999999958
0.085,0.09,322.24,341.422,-19.182000000000016
0.085,0.095,321.96,341.399,-19.43900000000002
0.085,0.1,321.721,341.377,-19.656000000000006
0.08,-4.62e-34,334.564,342.211,-7.646999999999991
0.08,0.005,335.783,342.151,-6.367999999999995
0.08,0.01,333.408,342.092,-8.683999999999969
0.08,0.015,332.314,342.035,-9.721000000000004
0.08,0.02,331.28,341.981,-10.701000000000022
0.08,0.025,330.305,341.928,-11.62299999999999
0.08,0.03,329.387,341.878,-12.490999999999985
0.08,0.035,328.526,341.83,-13.303999999999974
0.08,0.04,327.719,341.784,-14.064999999999998
0.08,0.045,326.966,341.74,-14.774000000000001
0.08,0.05,326.264,341.698,-15.433999999999969
0.08,0.055,325.613,341.658,-16.045000000000016
0.08,0.06,325.012,341.62,-16.608000000000004
0.08,0.065,324.458,341.584,-17.125999999999976
0.08,0.07,323.952,341.55,-17.598000000000013
0.08,0.075,323.493,341.518,-18.024999999999977
0.08,0.08,323.078,341.489,-18.411
0.08,0.085,322.708,341.461,-18.752999999999986
0.08,0.09,322.382,341.435,-19.052999999999997
0.08,0.095,322.1,341.412,-19.311999999999955
0.08,0.1,321.86,341.39000000000004,-19.53000000000003
0.075,-4.329999999999999e-34,335.952,342.223,-6.271000000000015
0.075,0.005,334.733,342.162,-7.428999999999974
0.075,0.01,333.575,342.103,-8.52800000000002
0.075,0.015,332.478,342.047,-9.569000000000017
0.075,0.02,331.441,341.992,-10.551000000000045
0.075,0.025,330.463,341.94,-11.476999999999975
0.075,0.03,329.542,341.89,-12.348000000000013
0.075,0.035,328.677,341.841,-13.163999999999987
0.075,0.04,327.867,341.795,-13.927999999999997
0.075,0.045,327.11,341.751,-14.640999999999963
0.075,0.05,326.405,341.709,-15.30400000000003
0.075,0.055,325.751,341.669,-15.918000000000006
0.075,0.06,325.146,341.631,-16.484999999999957
0.075,0.065,324.59,341.595,-17.005000000000052
0.075,0.07,324.081,341.561,-17.47999999999996
0.075,0.075,323.619,341.53,-17.910999999999945
0.075,0.08,323.202,341.5,-18.298000000000002
0.075,0.085,322.831,341.472,-18.640999999999963
0.075,0.09,322.503,341.447,-18.944000000000017
0.075,0.095,322.219,341.423,-19.204000000000008
0.075,0.1,321.978,341.402,-19.423999999999978
0.07,-4.04e-34,336.089,342.232,-6.143000000000029
0.07,0.005,334.87,342.171,-7.300999999999988
0.07,0.01,333.711,342.113,-8.401999999999987
0.07,0.015,332.612,342.056,-9.44399999999996
0.07,0.02,331.573,342.002,-10.42900000000003
0.07,0.025,330.592,341.949,-11.357000000000028
0.07,0.03,329.668,341.899,-12.230999999999995
